,Company_Name,JobTitles,Skills,Description,Stipend,Links
0,NextGen Techno Ventures Private Limited,Node.js Development,"Express.js , HTML , JavaScript , MongoDB , MySQL , Node.js","Selected intern's day-to-day responsibilities include: 

1. Node.js Development: 
a. Craft, test, and deploy top-tier web applications using Node.js and its frameworks 
b. Collaborate closely with interdisciplinary teams, including designers and fellow developers, to conceptualize, design, and launch innovative features 
c. Ensure the performance, security, and responsiveness of web applications built on Node.js 

2. Database Management: 
a. Design and manage databases, ensuring optimal performance and responsiveness 
b. Collaborate with team members and stakeholders to architect and design database structures 

3. Code Optimization: 
a. Write well-structured, efficient, and comprehensively documented code 
b. Identify and rectify bugs and performance constraints 

4. Integration: 
a. Seamlessly integrate data from various back-end services and databases 
b. Work collaboratively with developers to integrate user-facing elements through server-side logic 

5. API Development: 
a. Develop and maintain APIs to facilitate seamless communication between front-end and back-end systems 
b. Work in conjunction with multiple teams to comprehend and implement API prerequisites 

6. Version Control: Utilize version control systems (e.g., Git) to monitor changes and engage in collaborative development efforts 

7. Testing: 
a. Perform thorough testing of applications, pinpointing and rectifying defects 
b. Collaborate closely with quality assurance teams to ensure the ultimate quality of the end product 

8. Documentation: Create and update project documentation, encompassing technical specifications and user manuals. Express.js , HTML , JavaScript , MongoDB , MySQL , Node.js","₹ 5,000-7,000 /month",https://internshala.com/internship/detail/nodejs-development-internship-in-mumbai-at-nextgen-techno-ventures-private-limited1709554501
1,Across The Globe (ATG),Node.js Development,"JavaScript , MongoDB , MySQL , Node.js","Selected intern's day-to-day responsibilities include:

1. Develop and maintain all server-side network components
2. Work to ensure optimal performance of the central database and responsiveness to front-end requests
3. Create and update API
4. Help recommend and implement process and technology enhancements
5. Run diagnostic tests, repair defects, and provide technical support. JavaScript , MongoDB , MySQL , Node.js","₹ 2,500 /month +  Incentives",https://internshala.com/internship/detail/work-from-home-nodejs-development-internship-at-across-the-globe-atg1709547607
2,Jarvics Technologies,Node.js Development,"HTML , JavaScript , MongoDB , Node.js","Selected intern's day-to-day responsibilities include: 

1. Collaborating with front-end developers on the integration of elements.
2. Designing customer-facing UI and back-end services for various business 
processes.
3. Knowledge of front-end technologies such as HTML5 and CSS3.
4. Developing high-performance applications by writing testable, reusable, and 
efficient code.
5. Implementing effective security protocols, data protection measures, and storage solutions.
6. Running diagnostic tests, repairing defects, and providing technical support.
7. Documenting Node.js processes, including database schemas, as well as preparing reports.
8. Keeping informed of advancements in the field of Node.js development.. HTML , JavaScript , MongoDB , Node.js","₹ 7,000-12,000 /month",https://internshala.com/internship/detail/nodejs-development-internship-in-multiple-locations-at-jarvics-technologies1708581882
3,Impact Analytics,Node.js Development,"Express.js , JavaScript , MySQL , Node.js","Selected intern's day-to-day responsibilities include: 

1. Develop applications, using Node JS, Express JS and JavaScript, SQL (MySQL/PostgreSQL)
2. Integrate multiple data sources into one system to have familiarity with Object Relational Mapping libraries
3. Handle asynchronous processes, scalable application design and object-oriented design and design patterns 
4. Develop sophisticated products that add value to the client and result in new projects and revenue streams.

Preference will be given to those candidates who have done some real-time projects on Node JS or have any prior internship experience in the same.. Express.js , JavaScript , MySQL , Node.js","₹ 15,000 /month",https://internshala.com/internship/detail/nodejs-development-internship-in-bangalore-at-impact-analytics1708400506
4,Mark Web Solutions,Web Development,"CMS , CSS , HTML , HTML&CSS , JavaScript , Webflow , WordPress","We are seeking a highly motivated and talented individual to join our team as a Junior Website Developer Intern. This is a fantastic opportunity for a recent graduate or someone looking to gain hands-on experience in web development. As a Junior Website Developer, you will work closely with our experienced development team on various projects.

Selected intern's day-to-day responsibilities include:

1. Develop and maintain websites using HTML, CSS, WordPress, Shopify, and Webflow.
2. Collaborate with the design team to implement website features and functionalities.
3. Ensure the technical feasibility of UI/UX designs.
4. Troubleshoot and resolve website issues.
5. Stay updated on industry trends and incorporate best practices into web development.. CMS , CSS , HTML , HTML&CSS , JavaScript , Webflow , WordPress","₹ 7,500 /month",https://internshala.com/internship/detail/web-development-internship-in-mumbai-at-mark-web-solutions1709554568
5,WebxInfinity IT Solutions,Web Development,"CSS , HTML , JavaScript , Search Engine Optimization (SEO) , WordPress","Selected intern's day-to-day responsibilities include:-

1. Meeting with clients to discuss website design and function.
2. Designing and building the website front-end.
3. Creating the website architecture.
4. Designing and managing the website back-end including database and server integration.
5. Generating WordPress themes and plugins.
6. Conducting website performance tests.
7. Troubleshooting content issues.
8. Conducting WordPress training with the client.
9. Monitoring the performance of the live website.

WordPress Developer Requirements:-

1. Bachelor's degree in computer science or a similar field.
2. Proven work experience as a WordPress developer.
3. Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.
4. Knowledge of code versioning tools including Git, Mercurial, and SVN.
5. Experience working with debugging tools such as Chrome Inspector and Firebug.
6. Good understanding of website architecture and aesthetics.
7. Ability to manage projects.
8. Good communication skills.. CSS , HTML , JavaScript , Search Engine Optimization (SEO) , WordPress","₹ 10,000 /month",https://internshala.com/internship/detail/web-development-internship-in-bangalore-at-webxinfinity-it-solutions1709538353
6,TMA,Web Development,"Android , Cloud Firestore , Dart , Firebase , Flutter , iOS , REST API","Selected intern's day-to-day responsibilities include: 

1. Assisting with development

2. Testing and debugging

3. Learning and Researching: Staying up-to-date with the latest trends and advancements in Flutter development, as well as researching best practices and innovative solutions to enhance the project's functionalities

4. Collaboration and Communication: Actively participating in team meetings, brainstorming sessions, and discussions to share ideas

5. Documentation and Reporting: Documenting the development process, and writing clear and concise code documentation

6. UI/UX Development: Assisting with the design and development of user interfaces (UI) and user experiences (UX), ensuring that the application's design is intuitive, user-friendly, and visually appealing

7.  Version Control and Integration: Utilizing version control systems like Git to manage code changes and collaborating with the team to integrate new features and updates seamlessly into the existing codebase

8. Performance Optimization: Identifying areas for performance improvement within the application and implementing optimizations to enhance the overall speed, responsiveness, and efficiency of the SaaS Flutter project

9. Troubleshooting and Support: Providing support to users or clients by troubleshooting issues, responding to inquiries, and addressing any technical concerns related to the SaaS application

10. Adherence to Coding Standards: Adhering to established coding standards, guidelines, and best practices to ensure consistency, maintainability, and scalability of the codebase. Android , Cloud Firestore , Dart , Firebase , Flutter , iOS , REST API","₹ 10,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-tma1709543673
7,Dataset Connect Private Limited,Web Development,"Data Science , Django , Elasticsearch , FastAPI , Flask , Machine Learning , MongoDB , Power BI , Python , REST API , SQL","Selected intern's day-to-day responsibilities include:

1. Working on MLOPS for data science applications
2. Working on Fast API for data science applications
3. Working on Flask API for data science applications
4. Working on Django API for data science applications
5. Working on REST API for data science applications
6. Working on Python full-stack developments using AI, ML, Deep Learning, Computer Vision, deep learning, and related tech stacks
7. Working on Databases such as Elasticsearch, Neo4j, MongoDB, NoSQL, and PostgreSQL for data science applications
8. Working on data pipeline, ETL, ELT, and data platforms for data science applications
9. Working on Kafka, SnowFlake, and big data tech
10. Working on AWS, Azure, GCP, and related cloud solutions. Data Science , Django , Elasticsearch , FastAPI , Flask , Machine Learning , MongoDB , Power BI , Python , REST API , SQL","₹ 10,000-12,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-dataset-connect-private-limited1709541152
8,3VIDEO,Web Development,"Certificate ,  Letter of recommendation ,  Flexible work hours ,  5 days a week","Selected intern's day-to-day responsibilities include: 

1. Support the IT team in various tasks related to infrastructure management, software deployment, and system maintenance
2. Assist in troubleshooting technical issues and providing timely resolution to ensure smooth operations
3. Collaborate with cross-functional teams to implement and optimize cloud-based solutions for data analysis
4. Contribute to the development and enhancement of internal tools and processes to streamline operations
5. Participate in learning and development opportunities to enhance technical skills and stay updated on industry trends
6. Assist in documentation and knowledge-sharing activities to facilitate effective communication within the IT department. Certificate ,  Letter of recommendation ,  Flexible work hours ,  5 days a week","₹ 5,500 /month",https://internshala.com/internship/detail/part-time-web-development-internship-in-meerut-at-3video1709538703
9,CCC,Web Development,"CSS , Flutter , HTML , JavaScript , Python , REST API","Selected intern's day-to-day responsibilities include: 

1. Liase with the client and the developer 
2. Work in the development of a ""Windows Based Desktop Application"". CSS , Flutter , HTML , JavaScript , Python , REST API","₹ 5,500 /month",https://internshala.com/internship/detail/web-development-internship-in-multiple-locations-at-ccc1709482430
